21,122  Indian Institute of Technology Jammu,"Indian Institute of Technology Jammu 
Jagti, PO Nagrota, NH-44
Jammu - 181 221
J&K, India","jeeadv@iitjammu.ac.in,",0191-257-0633,,https://iitjammu.ac.in
22,123  Indian Institute of Technology Dharwad,"Indian Institute of Technology Dharwad
Permanent Campus(PC), Chikkamalligawad, Dharwad
PIN: 580007, Karnataka.","b.tech.admissions@iitdh.ac.in,",91-6364869646,,www.iitdh.ac.in
23,"201  Dr. B R Ambedkar National Institute of Technology, Jalandhar","NIT Jalandhar - 144008, India","as.daug@nitj.ac.in,  as.dapg@nitj.ac.in",91-181-2690301,91-181-2690320,www.nitj.ac.in
24,202  Malaviya National Institute of Technology Jaipur,"Jawaharlal Nehru Marg, Malviya Nagar, Jaipur, Rajasthan- 302017","skhandelwal.ce@mnit.ac.in,",91-141-2715082,91-141-2529029,www.mnit.ac.in
25,203  Maulana Azad National Institute of Technology Bhopal,"Link Road No.3				Bhopal (M.P.) 
India – 462003","fic.admission@manit.ac.in,  afic.admission@manit.ac.in",0755-4051055,91-755,www.manit.ac.in
26,204  Motilal Nehru National Institute of Technology Allahabad,"Motilal Nehru National Institute of Technology Allahabad, 
Teliyarganj, Prayagraj,
Uttar Pradesh, India.
Pin Code:211004.","lkm@mnnit.ac.in,  deanacademic@mnnit.ac.in",91-0532-2271044,91-532-2545341,www.mnnit.ac.in
27,205  National Institute of Technology  Agartala,"P.O.:NATIONAL INSTITUTE OF TECHNOLOGY,AGARTALA 
Barjala, Jirania, TRIPURA (W) 
Pin: 799046","ps_partha@yahoo.com,  kchakma.nita@gmail.com",0381-2548510,0381-2546360,www.nita.ac.in
28,206  National Institute of Technology Calicut,"NIT Campus (P.O), Kozhikode, 
Kerala, 
PIN - 673601","ugadmissions@nitc.ac.in,  babu@nitc.ac.in, vineeshravi@nitc.ac.in, dracd@nitc.ac.in",0495-2286110,0495-2287250,http://www.nitc.ac.in
29,207  National Institute of Technology Delhi,"National Institute of Technology Delhi
Plot No. FA7, Zone P1,
GT Karnal Road, Delhi-110036","cic_btechadmissions@nitdelhi.ac.in,",91-11-33861106,91-11-27787503,www.nitdelhi.ac.in
30,208  National Institute of Technology Durgapur,"Mahatma Gandhi Avenue, Durgapur, West Bengal, India, PIN 713209","deanac@nitdgp.ac.in,  ad.phd@nitdgp.ac.in",91-343-2752017,91-343-2547375,www.nitdgp.ac.in
31,209  National Institute of Technology Goa,"Kottamoll Plateau, 
Cuncolim Municipal Area, 
Salcete Taluka, 
South Goa District, 
Goa - 403703","ravi@nitgoa.ac.in,  ugadmissions@nitgoa.ac.in",9404715466,,www.nitgoa.ac.in
32,210  National Institute of Technology Hamirpur,"NIT Hamirpur, HIMACHAL PRADESH, PIN - 177005, INDIA","amitkaul@nith.ac.in,  dsharma@nith.ac.in,rajesh_kumar@nith.ac.in",91-1972-254544,91-1972-223834,www.nith.ac.in
33,"211  National Institute of Technology Karnataka, Surathkal","P.O: Srinivasnagar , 
Mangalore - 575 025, Karnataka,
India","deanacademic@nitk.edu.in,  dwaraki@nitk.edu.in",91-824-2473003,91-824-2474033,www.nitk.ac.in
34,212  National Institute of Technology Meghalaya,"Bijni Complex, Laitumkhrah, Shillong-793003, Meghalaya, India","admissions_incharge_ug@nitm.ac.in,  admissions_ug@nitm.ac.in",91-364-2501294,91-364-2501113,www.nitm.ac.in
35,213  National Institute of Technology Nagaland,"Chumukedima, Dimapur, Nagaland - 797 103","valan@nitnagaland.ac.in,  valanmspt@yahoo.co.in",91-03862-241808,,https://nitnagaland.ac.in/
36,214  National Institute of Technology Patna,"Ashok Rajpath, Patna, Bihar, 
PIN - 800005","dean.ac@nitp.ac.in,",91-612-2370419,91-612-2670631,www.nitp.ac.in
37,215  National Institute of Technology Puducherry,"National Institute of Technology Puducherry,
Thiruvettakudy,
Karaikal, Puducherry-609609.
India.","lakshmi@nitpy.ac.in,  lakshmi.sutha1@gmail.com",91-4368-265235,91-4368-265230,www.nitpy.ac.in
38,216  National Institute of Technology Raipur,"G.E. Road, Raipur, Chhatisgarh - 492010, INDIA","ugadmission@nitrr.ac.in,  vgaba.mech@nitrr.ac.in",91-7223857255,91-771-2254600,www.nitrr.ac.in
39,217  National Institute of Technology Sikkim,"Barfung Block, Ravangla Sub-Division Namchi, Sikkim - 737 139","dac@nitsikkim.ac.im,  basakranjan@nitsikkim.ac.in",91-3595-260042,91-3595-260018,www.nitsikkim.ac.in
40,218  National Institute of Technology Arunachal Pradesh,"Jote, District: Papum Pare, Arunachal Pradesh 
PIN - 791113","deanacad@nitap.ac.in,  abir@nitap.ac.in",9436271053,,www.nitap.ac.in
41,"219  National Institute of Technology, Jamshedpur","NIT Campus, P.O .RIT Jamshedpur 831014, Jharkhand, India","cmrao.civil@nitjsr.ac.in,  mrutyunjay.ece@nitjsr.ac.in",91-657-2373392,91-657-2382246,www.nitjsr.ac.in
42,"220  National Institute of Technology, Kurukshetra","National Institute of Technology, Kurukshetra - 136119, Haryana (India)","dean_academic@nitkkr.ac.in,  chauhanrpc@nitkkr.ac.in",91-1744-233223,1744,www.nitkkr.ac.in
43,"221  National Institute of Technology, Manipur","Langol, Imphal-795004, Manipur (INDIA)","rajeshnit20@gmail.com,  rkbrjit@yahoo.com",91-385-2058566,91-385-2445812,www.nitmanipur.ac.in
44,"222  National Institute of Technology, Mizoram","Chaltlang, Aizawl-796012, Mizoram, India","rudra.ece@nitmz.ac.in,  rudra.ece@nitmz.ac.in",9774652745,91-389-2391774,www.nitmz.ac.in
45,"223  National Institute of Technology, Rourkela","National Institute of Technology
Rourkela - 769008","samit@nitrkl.ac.in,  acad.ug@nitrkl.ac.in",91-661-2462464,91-661-2462037,www.nitrkl.ac.in
46,"224  National Institute of Technology, Silchar","REC Sub Post Office NIT, Pin-788010, Silchar, Assam","akarim@civil.nits.ac.in,  akbarbhuiya@yahoo.com",91-3842-242025,91-3842-,www.nits.ac.in
47,"225  National Institute of Technology, Srinagar","HAZRATBAL, SRINAGAR, JAMMU and KASHMIR 190 006, INDIA","deanacadaffairs@nitsri.ac.in,  shafi@nitsri.ac.in",91-194-2422032,91-194-2420475,https://nitsri.ac.in
48,"226  National Institute of Technology, Tiruchirappalli","Tanjore Main Road, National Highway 67, Tiruchirappalli - 620015, Tamil Nadu, India.","ug@nitt.edu,",91-431-2503931,91-431-2503930,www.nitt.edu
49,"227  National Institute of Technology, Uttarakhand","NIT Uttarakhand-Srinagar Campus,  Srinagar(Garwhal)- 246174","msrawat@nituk.ac.in,  rawat.ms85@gmail.com",91-1346-257474,,www.nituk.ac.in
50,"228  National Institute of Technology, Warangal","National Institute of Technology, Warangal, Hanumakonda (Dist.), Telangana - 506004","admissions@nitw.ac.in,  dean_acad@nitw.ac.in",91-870-2462060,91-870-2459547,www.nitw.ac.in
51,"229  Sardar Vallabhbhai National Institute of Technology, Surat","Ichchhanath, Surat-395007, Gujarat","vkp@med.svnit.ac.in,",0261-2201543,91-261-2227334,www.svnit.ac.in
52,"230  Visvesvaraya National Institute of Technology, Nagpur","South Ambazari Road, Nagpur, Maharashtra, PIN - 440010","dr_acd@vnit.ac.in,  asst_registrar@vnit.ac.in",91-712-2801365,0712-2223969,www.vnit.ac.in
53,"231  National Institute of Technology, Andhra Pradesh","Near National Highway No. 16, Kadakatla, Tadepalligudem – 534101, 
West Godavari District, Andhra Pradesh, India.","admissions@nitandhra.ac.in,  ad_ar@nitandhra.ac.in, dean_academics@nitandhra.ac.in",08818-284700,08818-284705,www.nitandhra.ac.in
54,"232  Indian Institute of Engineering Science and Technology, Shibpur","Indian Institute of Engineering Science and Technology, Shibpur
P.O. Botanic Garden, Howrah
711 103, INDIA","ugadmission@iiests.ac.in,",3326684561,3326687575,www.iiests.ac.in
55,301  Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Morena Link Road, 474015, Gwalior, Madhya Pradesh","pankaj@iiitm.ac.in,",91-751-2449720,91-2460313,www.iiitm.ac.in
56,"302  Indian Institute of Information Technology (IIIT)Kota, Rajasthan","IIIT Kota, SPL-269, RIICO Industrial Area, Kuber Extension, Ranpur, Kota – 325003, Rajasthan","admissions@iiitkota.ac.in,  amit@iiitkota.ac.in",0141-2715071,0141-2529154,http://www.iiitkota.ac.in
57,303  Indian Institute of Information Technology Guwahati,"Bongora, Guwahati 781015","admissions@iiitg.ac.in,",3612801090,,www.iiitg.ac.in/
58,"304  Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","WEBEL IT Park Campus, Near Buddha Park, P.O. Kalyani, Dist. Nadia - 741235, West Bengal","admission@iiitkalyani.ac.in,  mp@iiitkalyani.ac.in",,,www.iiitkalyani.ac.in
59,"305  Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Indian Institute of Information Technology (IIIT) Sonepat, SBIT Campus, Meerut Road, Pallri, Sonepat-131001","dtripathi@iiitsonepat.ac.in,  sonepatiiit@gmail.com",0130-2987910,,www.iiitsonepat.ac.in
60,"306  Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Indian Institute of Information Technology, Una
Saloh, Una (HP) - 177209","csabcoordinator@iiitu.ac.in,  nishtha@iiitu.ac.in",1975257906,,www.iiitu.ac.in
61,"307  Indian Institute of Information Technology (IIIT), Sri City, Chittoor","630 Gnan Marg, Sri City, 
Tirupati District, PIN-517646, Andhra Pradesh, India.","ug.admissions@iiits.in,  admissions@iiits.in",91-7306473364,91-7337327448,www.iiits.ac.in
62,"308  Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","C/O BLOCK NO.9, Government Engineering College, Sector-28, Gandhinagar, GUJARAT, 382 028","dibyendu.roy@iiitvadodara.ac.in,  admissions@iiitvadodara.ac.in",079-23977505,,www.iiitvadodara.ac.in
63,"309  Indian Institute of Information Technology, Allahabad","Devghat, Jhalwa, Allahabad, Uttar Pradesh 211015","dean.ar@iiita.ac.in,  manishgoswami@iiita.ac.in",91-532-2922115,91-532-2922115,www.iiita.ac.in
64,"310  Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","IIITDM Kancheepuram
Vandalur-Kelambakkam Road, 
Chennai: 600127.
 +91-44-2747 6300 |+91-44-2747 6301
 office@iiitdm.ac.in","jayabal@iiitdm.ac.in,  dean-ac@iiitdm.ac.in",91-44-27476323,91-44-27476301,www.iiitdm.ac.in
65,"311  Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Dumna Airport Road, P.O.: Khamaria, Jabalpur - 482 005, Madhya Pradesh, India","aracad@iiitdmj.ac.in,  dracad@iiitdmj.ac.in",91-761-2794035,91-761-2632524,www.iiitdmj.ac.in
66,313  INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,"Indian Institute of Information Technology Senapati Manipur,
Mantripukhri,
Imphal 795002, 
Manipur","admission@iiitmanipur.ac.in,  academic@iiitmanipur.ac.in",91-948520-0604,,www.iiitmanipur.ac.in
67,314  Indian Institute of Information Technology Tiruchirappalli,"IIIT Tiruchirappalli,
Sethurapatti, Tiruchirappalli,
Tamil Nadu.
Pincode : 620012.","admissions@iiitt.ac.in,  gsraman@iiitt.ac.in",,,www.iiitt.ac.in
68,315  Indian Institute of Information Technology Lucknow,"Indian Institute of Information Technology, Lucknow
Chak Ganjaria, Mastemau,
Lucknow - 226002","deepshikha@iiitl.ac.in,  deepshikha@iiitl.ac.in",,,https://iiitl.ac.in/
69,316  Indian Institute of Information Technology(IIIT) Dharwad,"IIIT Dharwad Campus, Ittigatti Road, Near Sattur Colony, Dharwad 580009.","malay.kumar@iiitdwd.ac.in,  contact@iiitdwd.ac.in",0836-2250879,,www.iiitdwd.ac.in
70,"317  Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Indian Institute of Information Technology Design and Manufacturing Kurnool, 
Dinnidevarapadu, Jaganathagattu 
Kurnool, Andhra Pradesh – 518007","akhtar@iiitk.ac.in,",08518-289121,08518-289127,www.iiitk.ac.in
71,318  Indian Institute of Information Technology(IIIT) Kottayam,"Indian Institute of Information Technology Kottayam,  Valavoor.P.O, 
Pala, Kottayam-686635, 
Kerala,India.","registrar@iiitkottayam.ac.in,  ugadmissions@iiitkottayam.ac.in",91-0482-2202100,91-0482-2202135,http://www.iiitkottayam.ac.in/
72,319  Indian Institute of Information Technology (IIIT) Ranchi,"A-403, Admin Office, IIIT Ranchi, ARTTC BSNL Campus, Getlatu, Near Jumar River Bridge,  P.O.: Neori Vikas Vidyalaya SO, Hazaribagh Road, Ranchi,Pin: 835217 (Jharkhand)","admission@iiitranchi.ac.in,  academics@iiitranchi.ac.in",8210813690,8986636255,http://www.iiitranchi.ac.in
73,320  Indian Institute of Information Technology (IIIT) Nagpur,"Survey.No. 140,141/1 Behind Br. Sheshrao Wankhade Shetkari Sahkari Soot Girni,
Village - Waranga, PO - Dongargaon (Butibori), District - Nagpur (Maharashtra) – 441108","registrar@iiitn.ac.in,  nagrawal@iiitn.ac.in",9406769734,,www.iiitn.ac.in
74,321  Indian Institute of Information Technology (IIIT) Pune,"Survey No. - 9/1/3, Ambegaon Budruk,
Sinhagad Institute Road, Pune 411041","bhupendra@iiitp.ac.in,  bhupi.pal08@gmail.com",,,https://iiitp.ac.in/
75,322  Indian Institute of Information Technology Bhagalpur,"Indian Institute of Information Technology Bhagalpur (IIIT Bhagalpur), Bhagalpur College of Engineering (BCE), Sabour, Bhagalpur, Bihar 813210","admission@iiitbh.ac.in,  suraj.ece@iiitbh.ac.in",,,https://iiitbh.ac.in/
76,323  Indian Institute of Information Technology Bhopal,"Indian Institute of Information Technology Bhopal C/O Maulana Azad National Institute of Technology (MANIT) Bhopal
Link Road Number 3, Near Kali Mata Mandir, Bhopal, Madhya Pradesh 462003","am.bhagat@gmail.com,  info@iiitbhopal.ac.in",91-755-4051455,,www.iiitbhopal.ac.in
77,324  Indian Institute of Information Technology Surat,"Kholvad Campus
Kamrej
Surat - 394190
Gujarat","admission@iiitsurat.ac.in,  office@iiitsurat.ac.in",02621-298060,,http://www.iiitsurat.ac.in
78,"325  Indian Institute of Information Technology, Agartala","IIIT AGARTALA,
MENTORED BY NIT AGARTALA,
BARJALA, JIRANIA,
AGARTALA-799046","drsbhaumik@gmail.com,  kgnits@gmail.com",0381-2548510,0381-2546630,https://www.iiitagartala.ac.in/
79,"326  Indian institute of information technology, Raichur, Karnataka","Indian Institute of Information Technology Raichur, Government Engineering College Yermarus Campus,
Raichur 584135.","alka03@iiitr.ac.in,  jallu@iiitr.ac.in",918449181935,,https://iiitr.ac.in
80,"327  Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)","IIIT Vadodara - International Campus Diu (IIITV-ICD), Education Hub, Kevdi - Diu (U.T) -362520","nodal_officer@diu.iiitvadodara.ac.in,",,,http://diu.iiitvadodara.ac.in/
81,"401  Assam University, Silchar","Silchar - 788 011, Assam, India","dasdebaprasad75@gmail.com, vc@aus.ac.in, registrar@aus.ac.in, pranab.sarkar83@gmail.com,  arnab.itaus@gmail.com",91-3842-270806,91-3842-270802,www.aus.ac.in
82,"402  Birla Institute of Technology, Mesra,  Ranchi","Birla Institute of Technology
Mesra, Ranchi - 835215
(Jharkhand)","daac@bitmesra.ac.in,  dr.aac@bitmesra.ac.in",91-651-2275868,91-651-2275401,www.bitmesra.ac.in
83,"403  Gurukula Kangri Vishwavidyalaya, Haridwar","Registrar,Gurukula Kangri Vishwavidayalaya, P.O Gurukula Kangri,Haridwar-249404","murli.tiwari@gkv.ac.in,  tanujkgarg@gkv.ac.in",7455025008,,www.gkv.ac.in
84,"404  Indian Institute of Carpet Technology,  Bhadohi","Chauri Road, Bhadohi - 221401 (UP)(Under the aegis of Development Commissioner (Handicrafts), Ministry of Textiles, Govt. of India)","registrar@iict.ac.in,  registrariict112@gmail.com",,,www.iict.ac.in
85,"405  Institute of Infrastructure, Technology, Research and Management-Ahmedabad","Institute of Infrastructure Technology Research and Management (IITRAM) , Near Khokhara Circle, Maninagar (East), Ahmedabad,380026","dean_academic@iitram.ac.in,  dean_academic@iitram.ac.in",7967775499,91-79-67775475,www.iitram.ac.in
86,"406  School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur","School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya(A Central University), Bilaspur(Chhattisgarh)-495009.","rmahule712@gmail.com, ganeshshukla2006@gmail.com, deanetggv@gmail.com,",91-7752-260453,91-7752-260007,http://www.new.ggu.ac.in/
87,"407  J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Department of Electronics & Communication, J.K. Institute of Applied Physics & Technology, Science Faculty, University of Allahabad,  Allahabad (Prayagraj)- 211002, Uttar Pradesh, India","admission.jkau@gmail.com,",91-532-2460068,,www.jkinstitute.ac.in
88,"408  National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)","Dr. B.A.M. University Campus, Aurangabad - Maharashtra","btech-abad@nielit.gov.in,  dir-aurangabad@nielit.gov.in",91-240-2982021,91-240-2982050,nielit.gov.in/aurangabad
89,"409  National Institute of Advanced Manufacturing Technology, Ranchi","National Institute of Advanced Manufacturing Technology(Formerly National Institute of Foundry and Forge Technology)Hatia, Ranchi - 834003, Jharkhand INDIA.","amiteshk@niamt.ac.in,  btechcoordinator@niamt.ac.in",0651-2280859,0651-2290860,www.niamt.ac.in
90,410  Sant Longowal Institute of Engineering and Technology,"Longowal – 148106, Distt. Sangrur (Pb.), India","chairmanset2024@gmail.com,  rpchaudhary65@gmail.com",91-1672-253136,91-1672-280072,www.sliet.ac.in
91,"411  Mizoram University, Aizawl","Mizoram University, Tanhril, Aizawl, Mizoram, P.O Box No. 190
Pin -796004","dean.set@mzu.edu.in,",91-0389-2330654,91-389-2330834,www.mzu.edu.in
92,"412  School of Engineering, Tezpur University, Napaam, Tezpur","School of Engineering
Tezpur University
Napaam, Tezpur 784028, Assam","tucsab@tezu.ernet.in,  tapan_g@tezu.ernet.in",9435471300,03712-267005,www.tezu.ernet.in
93,"413  School of Planning & Architecture, Bhopal","Neelbad Road,Bhopal Indore Bypass Road Bhauri, Bhopal - 462030","amitkhare@spabhopal.ac.in,  khareak78@gmail.com",91-0755-2526800,,spabhopal.ac.in
94,"414  School of Planning & Architecture, New Delhi","4, Block-B, I P Estate
New Delhi-110002","g.kumar@spa.ac.in,  admission@spa.ac.in",011-23724383,,http://spa.ac.in
95,415  School of Planning & Architecture: Vijayawada,"School of Planning and Architecture, Vijayawada. Sy. 4/4, ITI Road, Vijayawada- 520008","ayon.tarafdar@spav.ac.in,  admission@spav.ac.in",91-866-2469464,91-866-2469451,www.spav.ac.in
96,"416  Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir","Shri Mata Vaishno Devi University
Kakryal, Katra 182 320 (J&K), INDIA","balbir.isst@smvdu.ac.in,  balbirsingh.me@gmail.com",01991-285731,0199-285634,www.smvdu.ac.in
97,"420  International Institute of Information Technology, Naya Raipur","IIIT Naya Raipur, Plot No. 7, Sector 24, Atal Nagar, Raipur – 493 661, Chhattisgarh","ramakrishna@iiitnr.edu.in,  registrar@iiitnr.edu.in",91-771-2474046,,www.iiitnr.ac.in
98,421  University of Hyderabad,"University of Hyderabad
Central University P.O,
Prof C R Rao Road,
Gachibowli, Hyderabad-500046","ce@uohyd.ac.in,  thukaramp@uohyd.ac.in",4023132101,,www.uohyd.ac.in
99,"422  Punjab Engineering College, Chandigarh","Punjab Engineering College (Deemed to be University), Sector 12 Chandigarh 160012","admissions@pec.edu.in,  sbatish@pec.edu.in",172-2753813,,https://pec.ac.in/
100,"423  Jawaharlal Nehru University, Delhi","School of Engineering,
Jawaharlal Nehru University,
New Mehrauli Road,
New Delhi-110067","dean.se@mail.jnu.ac.in,",26738734,,http://soe.jnu.ac.in/home
101,"424  International Institute of Information Technology, Bhubaneswar","IIIT BHUBANESWAR,
GOTHAPATNA, PO: MALIPADA
BHUBANESWAR - 751 003. INDIA
Phone: +91-674-2653300
Fax: +91-674-3060509","muktikanta@iiit-bh.ac.in,  btechadmission@iiit-bh.ac.in",0674-2653305,,www.iiit-bh.ac.in
102,"425  Central institute of Technology Kokrajar, Assam","Central Institute of Technology,
P.O. & Dist. Kokrajhar
BTAD, Assam - 783370","citadmission@cit.ac.in,  entrance_exam@cit.ac.in",9365031406,,www.cit.ac.in
103,"426  Puducherry Technological University, Puducherry","Pillaichavady,
East Coast Road,
Puducherry-605014","admissions@ptuniv.edu.in,  selvaraj@ptuniv.edu.in",4132655214,4132655101,www.ptuniv.edu.in
104,"427  Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","Narayanpur, Malda. PIN -732141
West Bengal","kshirod@gkciet.ac.in,  dean_apd@gkciet.ac.in",,,www.gkciet.ac.in
105,"428  Central University of Rajasthan, Rajasthan","N.H.8, Bandarsindari, Kishangarh, Dist. Ajmer 305817","dean.et@curaj.ac.in,  prakash.choudhary@curaj.ac.in",01463-238723,01463-238522,www.curaj.ac.in
106,"430  National Institute of Food Technology Entrepreneurship and Management, Kundli","National Institute of Food Technology Entrepreneurship and Management
(NIFTEM),Kundli
 Plot No. 97, Sector 56, HSIIDC, Industrial Estate, Kundli-131028 Sonipat, Haryana","sanjaybhayananiftemkundli@gmail.com,  thangalakshmi.niftem@gmail.com",7082410850,0130-2219749,www.niftem.ac.in
107,"431  National Institute of Food Technology Entrepreneurship and Management, Thanjavur","National Institute of Food Technology, Entrepreneurship and Management - Thanjavur (NIFTEM-T)
Ministry of Food Processing Industries, Government of India,
Thanjavur - 613 005, Tamil Nadu","baskaran@iifpt.edu.in,",9486086221,,http://niftem-t.ac.in/
108,"432  North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh","NORTH EASTERN REGIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY (NERIST), ITANAGAR
P.O-NIRJULI
DISTRICT: PAPRUM PARE 
ARUNACHAL PRADESH-791109","dracad@nerist.ac.in,  nerist.academic@gmail.com",0360-2257565,0360-2258533,https://nerist.ac.in/
109,"433  Indian Institute of Handloom Technology(IIHT), Varanasi","INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY (IIHT),
CHOWKAGHAT,
VARANASI - (U.P.) PIN- 221 002","iihtvns@gmail.com,  ashok_dht@rediffmail.com",0542-2203833,,http://www.iihtvaranasi.edu.in/
110,"434  Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)","Newai, Bhilai, 
Distt-Durg
Chhattisgarh 491107","admissionutd@csvtu.ac.in,  admissioncell_utd@csvtu.ac.in",7882200062,,https://csvtu.ac.in/ew/
111,"435  Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","Institute of Chemical Technology Mumbai, IndianOil Odisha Campus (IOC), IIT Kharagpur Extension Centre, Samantapuri Mouza, Gajapati Nagar, Bhubaneswar, Odisha, 751013.","sunil.mohanty@staffiocb.ictmumbai.edu.in, admission@staffiocb.ictmumbai.edu.in,  director@iocb.ictmumbai.edu.in",0674-2651701,,https://iocb.ictmumbai.edu.in/
